date,close
2019-02-08,1588.22
2019-02-07,1614.37
2019-02-06,1640.26
2019-02-05,1658.81
2019-02-04,1633.31
2019-02-01,1626.23
2019-01-31,1718.73
2019-01-30,1670.43
2019-01-29,1593.88
2019-01-28,1637.89
2019-01-25,1670.57
2019-01-24,1654.93
2019-01-23,1640.02
2019-01-22,1632.17
2019-01-18,1696.2
2019-01-17,1693.22
2019-01-16,1683.78
2019-01-15,1674.56
2019-01-14,1617.21
2019-01-11,1640.56
2019-01-10,1656.22
2019-01-09,1659.42
2019-01-08,1656.58
2019-01-07,1629.51
2019-01-04,1575.39
2019-01-03,1500.28
2019-01-02,1539.13
2018-12-31,1501.97
2018-12-28,1478.02
2018-12-27,1461.64
2018-12-26,1470.9
2018-12-24,1343.96
2018-12-21,1377.45
2018-12-20,1460.83
2018-12-19,1495.08
2018-12-18,1551.48
2018-12-17,1520.91
2018-12-14,1591.91
2018-12-13,1658.38
2018-12-12,1663.54
2018-12-11,1643.24
2018-12-10,1641.03
2018-12-07,1629.13
2018-12-06,1699.19
2018-12-04,1668.4
2018-12-03,1772.36
2018-11-30,1690.17
2018-11-29,1673.57
2018-11-28,1677.75
2018-11-27,1581.42
2018-11-26,1581.33
2018-11-23,1502.06
2018-11-21,1516.73
2018-11-20,1495.46
2018-11-19,1512.29
2018-11-16,1593.41
2018-11-15,1619.44
2018-11-14,1599.01
2018-11-13,1631.17
2018-11-12,1636.85
2018-11-09,1712.43
2018-11-08,1754.91
2018-11-07,1755.49
2018-11-06,1642.81
2018-11-05,1627.8
2018-11-02,1665.53
2018-11-01,1665.53
2018-10-31,1598.01
2018-10-30,1530.42
2018-10-29,1538.88
2018-10-26,1642.81
2018-10-25,1782.17
2018-10-24,1664.2
2018-10-23,1768.7
2018-10-22,1789.3
2018-10-19,1764.03
2018-10-18,1770.72
2018-10-17,1831.73
2018-10-16,1819.96
2018-10-15,1760.95
2018-10-12,1788.61
2018-10-11,1719.36
2018-10-10,1755.25
2018-10-09,1870.32
2018-10-08,1864.42
2018-10-05,1889.65
2018-10-04,1909.42
2018-10-03,1952.76
2018-10-02,1971.31
